"","log2FoldChange","padj","Factor"
"ko:K10418",0.384952168056038,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K10419",0.273253870869199,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K10420",0.0137676942287674,0.995756658061467,"Menthol_Menthol_vs_Control"
"ko:K10435",0.0746156644904513,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K10573",0.903597799547216,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K10575",-0.423769262243181,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K10577",-0.839828025341151,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K10580",0.0334392958967634,0.983591412106879,"Menthol_Menthol_vs_Control"
"ko:K10582",0.32413122888525,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K10583",-0.995201943065195,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K10688",-1.3589148333043,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K10704",0.153767401421494,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K10949",0.0575851387483671,0.976792567337065,"Menthol_Menthol_vs_Control"
"ko:K10956",0.873722217297689,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K11087",-0.357127697851707,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K11088",0.00965639567193342,0.998708907318586,"Menthol_Menthol_vs_Control"
"ko:K11099",0.685208885978719,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K11130",0.909053257171651,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K11188",-0.269326261034872,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K11251",1.06708231865583,0.484154272507485,"Menthol_Menthol_vs_Control"
"ko:K11252",-0.0825504258911044,0.945890796337867,"Menthol_Menthol_vs_Control"
"ko:K11254",0.0310458762658632,0.993464427214682,"Menthol_Menthol_vs_Control"
"ko:K11495",-0.766681945544126,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K11584",0.303362410748684,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K11884",-0.222608876121229,0.945890796337867,"Menthol_Menthol_vs_Control"
"ko:K11980",-0.590225921401147,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K12158",-0.0902500480414634,0.950548873158691,"Menthol_Menthol_vs_Control"
"ko:K12194",-0.125528623745075,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K12197",-0.0751239557658206,0.950548873158691,"Menthol_Menthol_vs_Control"
"ko:K12198",-1.49912649244016,0.703742850177776,"Menthol_Menthol_vs_Control"
"ko:K12393",0.53819134624363,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K12621",0.540382006646829,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K12622",-0.73470447200335,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K12623",0.147447256924704,0.950548873158691,"Menthol_Menthol_vs_Control"
"ko:K12757",-0.0903095109922226,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K12828",-0.0392717423246984,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K12832",-0.126567495938595,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K12833",-1.05037708406857,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K12859",-0.061165092973382,0.976792567337065,"Menthol_Menthol_vs_Control"
"ko:K12877",-0.3713208438667,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K12947",-0.654194926711448,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K13025",-0.153836282738956,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K13126",0.271554440716535,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K13176",-0.771268088806364,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K13251",0.165258865144297,0.950548873158691,"Menthol_Menthol_vs_Control"
"ko:K13758",0.802123556151234,0.90789791293508,"Menthol_Menthol_vs_Control"
"ko:K13785",-2.6720966095916,1.54582545756201e-05,"Menthol_Menthol_vs_Control"
"ko:K14397",-0.233100410120617,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K14753",-0.133836552315076,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K14803",-0.749555292260538,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K14965",-6.17694796180236,2.6748001168492e-10,"Menthol_Menthol_vs_Control"
"ko:K15025",0.0524664869374355,0.987467782519639,"Menthol_Menthol_vs_Control"
"ko:K15103",0.204445416366187,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K15620",-1.12300495443971,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K16186",1.62754298635349,0.146217229088296,"Menthol_Menthol_vs_Control"
"ko:K16197",-1.30017306957258,0.193965978551225,"Menthol_Menthol_vs_Control"
"ko:K16344",-1.25406145994086,0.526121843461863,"Menthol_Menthol_vs_Control"
"ko:K16575",-0.00907259835785694,0.998708907318586,"Menthol_Menthol_vs_Control"
"ko:K16794",-0.219526600875729,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K17080",-0.298234824537989,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K17081",-0.430276861077455,0.90789791293508,"Menthol_Menthol_vs_Control"
"ko:K17093",0.981662652208055,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K17254",0.847229375767751,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K17266",-0.98296187186261,0.484154272507485,"Menthol_Menthol_vs_Control"
"ko:K17268",0.338422554483248,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K17497",-0.363993423640713,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K17780",-0.776062652958854,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K17795",0.831470482472241,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K17918",-0.0921381886464102,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K17920",1.11883701452432,1.13768542159162e-06,"Menthol_Menthol_vs_Control"
"ko:K18269",-0.483739704327003,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K18466",-0.349362485312631,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K18617",0.579366725763176,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K19682",0.420845215597063,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K19765",0.0488909778131324,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K19788",1.81805177186908,0.858058869367414,"Menthol_Menthol_vs_Control"
"ko:K19931",-0.0453764501790359,0.958536259193906,"Menthol_Menthol_vs_Control"
"ko:K19932",-1.01034363708335,0.807414952046854,"Menthol_Menthol_vs_Control"
"ko:K20011",-0.125753932437253,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K20301",0.552065154847601,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K20302",0.0522145243654849,0.970738808163136,"Menthol_Menthol_vs_Control"
"ko:K20346",-1.11576453498262,0.821938906214829,"Menthol_Menthol_vs_Control"
"ko:K20347",-0.66305792684144,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K20350",-1.57237035345404,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K20352",0.0869927805409773,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K20369",0.605526618394192,0.0163056947484475,"Menthol_Menthol_vs_Control"
"ko:K20398",0.449609329001651,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K20399",-1.46876256283117,0.921402247845558,"Menthol_Menthol_vs_Control"
"ko:K20472",0.396073683388295,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K21870",-0.509263900023594,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K21891",-0.895966980587209,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K22069",0.576040890295969,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K22390",-0.411043840479992,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K22503",-0.35177317539087,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K22556",-2.51977462693697,0.484154272507485,"Menthol_Menthol_vs_Control"
"ko:K22939",-0.439553439508287,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K23034",-2.02591308085003,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K000241",-0.985869874396547,0.519359492772572,"Vibrio_Vibrio_vs_Control"
"ko:K000311",-0.135157410398352,0.932550594537634,"Vibrio_Vibrio_vs_Control"
"ko:K001281",-0.0680919109245474,0.932550594537634,"Vibrio_Vibrio_vs_Control"
"ko:K001341",-0.917776412178219,0.578276095080283,"Vibrio_Vibrio_vs_Control"
"ko:K001401",1.18645153470654,0.345952952689949,"Vibrio_Vibrio_vs_Control"
"ko:K002071",-0.386576302268894,0.837430169754732,"Vibrio_Vibrio_vs_Control"
"ko:K002351",-0.964153433703278,0.182841253395411,"Vibrio_Vibrio_vs_Control"
"ko:K002491",-3.01282083813281,NA,"Vibrio_Vibrio_vs_Control"
"ko:K002621",-0.624546926584232,0.561592956238684,"Vibrio_Vibrio_vs_Control"
"ko:K003311",0.77455115758001,0.534093825104952,"Vibrio_Vibrio_vs_Control"
"ko:K003331",-0.283993679607294,0.769360592019172,"Vibrio_Vibrio_vs_Control"
"ko:K003381",0.972839926855906,NA,"Vibrio_Vibrio_vs_Control"
"ko:K003571",-1.72174782367185,NA,"Vibrio_Vibrio_vs_Control"
"ko:K004111",-0.110989313183749,0.776362120405544,"Vibrio_Vibrio_vs_Control"
"ko:K004131",0.551453351623727,NA,"Vibrio_Vibrio_vs_Control"
"ko:K004561",-0.697052609481815,0.519359492772572,"Vibrio_Vibrio_vs_Control"
"ko:K004691",-0.55341932385937,0.049295752866697,"Vibrio_Vibrio_vs_Control"
"ko:K005001",-0.187765466828275,0.866044499871842,"Vibrio_Vibrio_vs_Control"
"ko:K005221",-0.297332523846221,0.614854591819983,"Vibrio_Vibrio_vs_Control"
"ko:K005441",0.473287820517955,0.891315495660876,"Vibrio_Vibrio_vs_Control"
"ko:K006161",1.06581574800757,NA,"Vibrio_Vibrio_vs_Control"
"ko:K006431",1.44001332859729,2.85972169439373e-05,"Vibrio_Vibrio_vs_Control"
"ko:K007991",-1.03846758836588,0.534093825104952,"Vibrio_Vibrio_vs_Control"
"ko:K008141",-0.481034685951174,NA,"Vibrio_Vibrio_vs_Control"
"ko:K008191",-0.117724784333091,0.862155940103224,"Vibrio_Vibrio_vs_Control"
"ko:K008561",1.34085451370469,0.288824455967872,"Vibrio_Vibrio_vs_Control"
"ko:K009331",-0.593198242990597,0.518476792116434,"Vibrio_Vibrio_vs_Control"
"ko:K009391",0.940482591890109,0.160342454079001,"Vibrio_Vibrio_vs_Control"
